username,address,ordered_pizza,ordered_sauce,total_amount,order_datetime,order_note
Grace,"8694 Nelson Causeway Apt. 490
New Scottmouth, AZ 86606",turkish,onion,54₺,03/10/2023 03:37:10,don't ring the bell.
April,"127 Dawn Creek Apt. 677
Thompsonland, DC 38537",turkish,meat,65₺,27/05/2023 19:16:58,no extra sauce please.
Brian,"494 Sweeney Underpass Apt. 332
New Jimmy, KS 37132",classic,mushroom,40₺,29/12/2023 11:21:22,extra sauce please.
Tammie,"6351 Mary Stravenue
West Maryburgh, PA 96148",simple,mushroom,30₺,25/11/2023 05:16:32,please hurry! I'm hungry.
Melia,"598 Peterson Causeway Suite 742
Kellytown, MA 76198",simple,onion,24₺,30/10/2023 09:35:07,I want more mushrooms than the previous order
Carrie,"87435 John Junctions Apt. 219
West Carlmouth, GU 16314",classic,onion,34₺,05/02/2023 07:59:55,don't ring the bell.
Hortencia,"69958 Gary Square
Port Jacquelinestad, AZ 32139",turkish,corn,56₺,25/07/2023 16:13:35,don't put tomatoes on pizza.
Erik,"PSC 8403, Box 7889
APO AP 95293",classic,goat cheese,37₺,22/04/2023 20:34:45,no extra sauce please.
Amalia,"Unit 4299 Box 3643
DPO AP 31106",simple,olive,24₺,16/04/2023 08:04:39,no extra sauce please.
Claudia,"2195 White Gateway
North Ericshire, NV 77600",turkish,mushroom,60₺,21/04/2023 17:10:05,please hurry! I'm hungry.
William,"144 Jeffrey Mountain
Tammyfurt, WY 74795",turkish,mushroom,60₺,28/07/2023 14:18:24,extra sauce please.
Virginia,"58008 Jones Ford Suite 597
East Jessicaborough, CO 60759",turkish,goat cheese,57₺,05/06/2023 23:35:02,don't put tomatoes on pizza.
David,"5529 Tina Square Suite 459
Palmermouth, MT 53320",simple,mushroom,30₺,10/04/2023 17:49:54,I want more mushrooms than the previous order
Shirley,"22438 Mitchell Brook Apt. 411
New Deborah, MO 60729",classic,onion,34₺,09/09/2023 16:32:35,please hurry! I'm hungry.
Daniel,"18893 Kenneth Overpass
West Alanton, FM 05641",margherita,corn,46₺,18/12/2023 08:28:53,don't put tomatoes on pizza.
Elodia,"81430 Perez Pike Apt. 565
Lauraborough, AS 27921",simple,meat,35₺,21/09/2023 09:33:46,I want more mushrooms than the previous order
Henry,"8551 Alicia Circle Suite 049
Smithberg, MH 49408",margherita,meat,55₺,07/01/2023 00:13:26,extra sauce please.
Ronald,"251 Edward Trafficway Apt. 906
Blairburgh, VI 97732",simple,goat cheese,27₺,05/02/2023 22:40:34,don't ring the bell.
Sylvia,"087 Orozco Village Suite 393
North Andrea, AZ 38806",classic,meat,45₺,25/07/2023 05:01:32,no extra sauce please.
Joseph,"PSC 0951, Box 7362
APO AA 69018",simple,onion,24₺,04/11/2023 20:49:49,don't put tomatoes on pizza.
Peter,"4845 Jesse Viaduct Suite 841
Allisonhaven, KS 04381",margherita,onion,44₺,01/02/2023 08:02:17,no extra sauce please.
Dustin,"11602 Chung Estate Apt. 314
Petersburgh, GA 71827",simple,corn,26₺,03/06/2023 07:37:31,no extra sauce please.
